Timestamp,Username,Source_IP,Destination_IP,Protocol,Traffic_Type,Malware_Indicator,Anomaly_Score,Alert,Threat_Type,Attack_Signature,Action_Taken,Severity,Device_OS
2022-08-01 12:10:09,user14,51.52.131.230,201.121.45.82,ICMP,DNS,IoC Detected,50.79,no,DDoS,Known Pattern A,Logged,Low,Linux
2020-09-23 01:03:33,user15,85.158.89.201,16.146.213.227,UDP,DNS,No Detection,55.88,yes,Intrusion,Known Pattern A,Blocked,Low,Android
2022-09-17 07:19:34,user16,136.244.246.124,2.22.124.85,UDP,DNS,No Detection,37.75,no,Malware,Known Pattern A,Blocked,Medium,Windows
2023-08-04 17:28:16,user17,131.160.165.34,106.223.165.37,ICMP,DNS,No Detection,29.78,yes,Intrusion,Known Pattern A,Logged,Medium,Macintosh
2022-02-11 20:25:57,user18,109.56.30.36,52.234.235.47,TCP,DNS,IoC Detected,43.98,yes,DDoS,Known Pattern B,Blocked,Low,Macintosh
2022-03-18 09:36:37,user19,176.223.255.139,161.94.181.110,UDP,DNS,No Detection,72.14,yes,Intrusion,Known Pattern A,Logged,Low,iPhone
2022-09-07 11:56:33,user20,199.95.93.122,183.131.139.171,TCP,FTP,No Detection,38.32,yes,DDoS,Known Pattern A,Ignored,Low,Linux
2023-04-10 14:24:05,user21,103.128.42.229,214.81.23.234,ICMP,DNS,No Detection,21.36,yes,Intrusion,Known Pattern B,Blocked,Low,Windows
2021-03-02 08:45:19,user22,20.111.2.253,197.184.68.237,ICMP,FTP,No Detection,66.68,no,DDoS,Known Pattern B,Ignored,Low,Macintosh
2022-05-13 23:14:00,user23,147.72.196.188,23.58.146.119,TCP,DNS,No Detection,22.73,no,Malware,Known Pattern A,Blocked,High,Linux
2023-08-06 23:07:02,user24,98.75.52.109,68.106.6.248,TCP,FTP,IoC Detected,56.26,yes,DDoS,Known Pattern B,Logged,High,iPad
2023-05-30 02:14:38,user25,155.66.128.234,200.81.41.226,ICMP,DNS,IoC Detected,22.28,no,DDoS,Known Pattern B,Blocked,Medium,Windows
2023-04-01 22:11:04,user26,178.221.96.186,43.14.253.88,ICMP,DNS,No Detection,90.47,yes,Intrusion,Known Pattern A,Ignored,High,Windows
2020-07-04 10:01:07,user27,178.66.107.202,62.87.195.186,TCP,DNS,IoC Detected,93.72,no,Intrusion,Known Pattern A,Logged,High,Windows
2023-07-16 14:29:20,user28,160.161.192.59,20.56.13.224,UDP,DNS,IoC Detected,49.99,no,DDoS,Known Pattern A,Ignored,Medium,Windows
2022-01-28 11:46:07,user29,164.72.16.71,138.150.22.1,ICMP,FTP,IoC Detected,43.76,yes,DDoS,Known Pattern A,Ignored,High,Windows
2021-09-06 03:22:06,user30,101.118.36.73,211.71.71.94,UDP,HTTP,IoC Detected,91.99,yes,Malware,Known Pattern B,Blocked,Low,Windows
2021-11-06 16:29:10,user31,32.24.84.15,97.244.4.76,ICMP,DNS,No Detection,12.91,yes,Malware,Known Pattern A,Blocked,High,Macintosh
2021-01-14 22:45:53,user32,2.64.30.79,183.9.122.99,ICMP,FTP,IoC Detected,99.06,yes,Malware,Known Pattern A,Logged,Medium,Windows
2020-12-25 01:30:31,user33,216.105.162.130,113.42.88.237,UDP,FTP,IoC Detected,47.67,yes,Intrusion,Known Pattern B,Blocked,Medium,Windows
2020-02-18 11:55:19,user34,98.44.237.24,98.227.58.179,UDP,DNS,No Detection,53.62,yes,Intrusion,Known Pattern B,Blocked,Medium,Linux
2022-07-03 05:33:33,user35,155.45.248.49,24.70.121.61,ICMP,FTP,IoC Detected,34.7,no,Intrusion,Known Pattern A,Blocked,High,Windows
2020-04-30 16:52:24,user36,215.177.233.202,202.19.22.204,TCP,HTTP,No Detection,58.91,yes,DDoS,Known Pattern B,Blocked,High,Macintosh
2020-04-27 22:18:22,user37,155.181.19.254,185.225.87.232,UDP,HTTP,No Detection,73.77,yes,Intrusion,Known Pattern B,Ignored,High,Linux
2020-03-19 09:14:33,user38,114.121.41.100,218.131.163.98,ICMP,DNS,IoC Detected,77.55,no,Intrusion,Known Pattern B,Blocked,Low,Windows
2022-10-09 06:43:46,user39,89.178.121.11,87.143.89.26,ICMP,FTP,No Detection,34.24,yes,Malware,Known Pattern A,Logged,Low,Macintosh
2022-11-05 11:25:01,user40,168.83.219.222,28.121.210.29,ICMP,HTTP,No Detection,61.99,no,Malware,Known Pattern A,Ignored,Medium,Windows
2023-06-05 20:07:34,user41,213.245.89.200,12.242.96.239,ICMP,HTTP,No Detection,90.93,no,Malware,Known Pattern B,Logged,High,Linux
2020-12-24 21:22:14,user42,25.221.67.5,123.74.84.90,ICMP,HTTP,IoC Detected,67.29,no,Intrusion,Known Pattern B,Ignored,High,Windows
2022-02-10 21:06:57,user43,54.168.66.104,82.213.129.43,ICMP,DNS,No Detection,96.66,yes,Intrusion,Known Pattern B,Logged,Low,iPod
2022-10-08 21:17:12,user44,24.72.4.168,72.62.80.45,TCP,DNS,No Detection,77.43,no,Malware,Known Pattern A,Ignored,High,Macintosh
2020-04-06 23:19:05,user45,222.10.155.140,185.3.31.87,ICMP,HTTP,IoC Detected,7.99,yes,Intrusion,Known Pattern A,Logged,High,Macintosh
2021-04-07 10:38:36,user46,50.148.144.69,18.255.89.23,ICMP,HTTP,IoC Detected,65.25,no,Intrusion,Known Pattern A,Ignored,High,Linux
2020-07-06 14:37:34,user47,179.94.76.179,118.18.23.140,UDP,HTTP,No Detection,77.87,yes,Malware,Known Pattern A,Ignored,Low,Linux
2023-08-18 22:08:20,user48,99.194.235.221,18.200.91.113,TCP,FTP,No Detection,28.74,no,Malware,Known Pattern A,Ignored,Medium,Linux
2023-09-20 10:02:29,user49,209.130.170.24,156.88.107.131,TCP,HTTP,IoC Detected,29.93,no,Malware,Known Pattern A,Logged,High,Android
2021-01-17 10:37:02,user50,79.236.107.245,174.255.158.43,TCP,HTTP,No Detection,14.28,yes,Malware,Known Pattern B,Ignored,High,Windows
2022-06-22 13:19:17,user51,182.99.90.146,176.154.55.240,TCP,HTTP,No Detection,18.6,yes,Intrusion,Known Pattern A,Ignored,Medium,Linux
2021-02-28 13:11:40,user52,170.93.52.13,162.247.185.99,UDP,DNS,No Detection,37.74,no,Intrusion,Known Pattern A,Logged,Medium,Android
2023-02-07 06:37:11,user53,171.150.255.251,166.110.152.68,TCP,DNS,No Detection,24.4,no,Intrusion,Known Pattern A,Logged,Low,iPad
2022-11-25 07:58:19,user54,31.68.142.39,4.114.141.255,TCP,DNS,IoC Detected,75.16,yes,Malware,Known Pattern A,Ignored,High,Windows
2021-02-16 17:30:49,user55,161.79.30.228,58.52.206.232,ICMP,FTP,No Detection,14.22,yes,Intrusion,Known Pattern B,Ignored,Low,Windows
2021-03-29 21:19:34,user56,72.156.235.155,41.161.130.58,ICMP,FTP,IoC Detected,80.27,yes,DDoS,Known Pattern A,Ignored,Low,Windows
2023-03-07 12:27:50,user57,137.174.186.143,104.145.5.246,ICMP,FTP,No Detection,60.54,yes,DDoS,Known Pattern B,Blocked,Low,Windows
2022-02-26 16:00:38,user58,78.175.34.183,94.29.53.234,UDP,DNS,No Detection,20.0,no,DDoS,Known Pattern B,Ignored,Low,Macintosh
2022-06-13 21:16:32,user59,113.253.61.41,27.84.58.89,ICMP,DNS,No Detection,13.41,no,Intrusion,Known Pattern A,Logged,High,Windows
2020-09-10 22:11:44,user60,42.63.179.240,123.227.213.114,ICMP,DNS,No Detection,92.8,no,Malware,Known Pattern A,Logged,Low,Linux
2021-08-01 05:28:25,user61,195.50.140.86,95.144.225.107,ICMP,DNS,IoC Detected,47.94,yes,Intrusion,Known Pattern A,Blocked,Medium,Macintosh
2021-11-06 17:06:17,user62,111.143.89.52,117.176.105.110,UDP,HTTP,IoC Detected,30.71,no,Intrusion,Known Pattern B,Logged,High,Linux
2021-12-29 07:50:15,user63,68.210.62.78,129.101.56.33,ICMP,FTP,No Detection,81.45,no,Intrusion,Known Pattern B,Ignored,Low,Linux
2023-06-26 09:35:05,user64,129.136.209.155,157.18.163.100,UDP,HTTP,IoC Detected,80.56,no,Malware,Known Pattern B,Blocked,High,Linux
2022-01-04 12:01:22,user65,53.2.73.73,132.85.91.72,UDP,HTTP,IoC Detected,62.48,no,DDoS,Known Pattern B,Blocked,Medium,Linux
2022-05-25 05:30:20,user66,185.120.132.208,223.214.135.41,ICMP,DNS,IoC Detected,15.95,yes,Malware,Known Pattern A,Logged,Low,Windows
2022-09-25 17:16:34,user67,5.20.117.26,184.155.85.59,TCP,FTP,IoC Detected,99.24,no,Intrusion,Known Pattern A,Blocked,High,iPad
2020-11-22 02:01:43,user68,159.223.88.250,121.41.77.209,ICMP,HTTP,No Detection,0.52,no,Malware,Known Pattern A,Blocked,High,Macintosh
2020-04-05 03:18:31,user69,67.179.90.228,71.124.108.153,ICMP,DNS,IoC Detected,10.38,no,DDoS,Known Pattern B,Blocked,High,Linux
2022-06-11 17:01:27,user70,122.3.113.63,186.118.18.114,TCP,HTTP,No Detection,55.49,yes,Malware,Known Pattern B,Logged,High,Windows
2021-05-16 09:28:31,user71,37.246.226.244,58.165.78.207,ICMP,HTTP,IoC Detected,16.22,yes,Intrusion,Known Pattern B,Ignored,Medium,Windows
2022-04-20 05:57:23,user72,181.2.18.255,189.18.118.249,UDP,DNS,No Detection,87.32,no,DDoS,Known Pattern A,Blocked,Low,Windows
2020-04-13 04:13:04,user73,63.85.173.102,60.220.132.52,TCP,HTTP,IoC Detected,65.91,no,Intrusion,Known Pattern A,Logged,Medium,Linux
2021-05-15 11:53:24,user74,59.16.143.214,71.130.201.44,UDP,DNS,IoC Detected,62.87,yes,Malware,Known Pattern B,Blocked,Low,Windows
2022-05-29 22:22:19,user75,219.45.18.254,154.253.90.82,ICMP,DNS,No Detection,52.42,yes,Malware,Known Pattern A,Blocked,Low,Linux
2023-09-16 13:23:40,user76,153.160.130.214,213.190.142.234,TCP,HTTP,No Detection,76.74,yes,DDoS,Known Pattern B,Logged,Medium,Windows
2020-01-20 16:00:20,user77,148.117.142.69,218.32.138.239,TCP,DNS,No Detection,29.92,no,DDoS,Known Pattern A,Logged,High,Linux
2023-04-04 04:16:35,user78,141.195.107.38,152.168.190.215,ICMP,DNS,No Detection,98.95,yes,DDoS,Known Pattern B,Ignored,High,Windows
2021-04-26 03:30:13,user79,71.144.232.169,39.125.225.135,UDP,DNS,No Detection,95.96,no,Intrusion,Known Pattern A,Ignored,Medium,Linux
2023-02-16 10:11:42,user80,215.48.144.124,74.42.154.161,ICMP,FTP,No Detection,66.58,no,DDoS,Known Pattern A,Blocked,High,Linux
2020-09-11 22:18:55,user81,96.11.140.38,84.36.35.49,TCP,FTP,No Detection,12.14,no,Intrusion,Known Pattern A,Logged,High,Windows
2021-09-01 02:30:04,user82,69.214.37.123,41.193.32.153,UDP,FTP,IoC Detected,23.6,yes,Malware,Known Pattern A,Logged,High,Windows
2022-04-12 06:10:35,user83,221.68.126.176,72.252.180.161,ICMP,HTTP,IoC Detected,61.86,no,Intrusion,Known Pattern A,Blocked,Low,Windows
2023-02-21 23:49:42,user84,123.148.129.151,210.155.207.143,TCP,HTTP,No Detection,20.76,no,Intrusion,Known Pattern A,Ignored,Medium,Linux
2023-09-29 00:24:46,user85,79.39.131.115,154.179.167.237,TCP,FTP,No Detection,38.7,no,Intrusion,Known Pattern A,Blocked,High,iPhone
2022-08-04 18:17:55,user86,35.163.255.225,193.23.163.164,TCP,DNS,IoC Detected,15.04,no,Intrusion,Known Pattern A,Logged,Low,Linux
2021-09-16 15:17:32,user87,216.120.186.62,91.188.50.62,UDP,HTTP,No Detection,85.36,no,DDoS,Known Pattern A,Blocked,Low,Windows
2020-09-19 10:50:05,user88,94.17.114.136,220.130.57.161,ICMP,HTTP,No Detection,86.2,yes,Intrusion,Known Pattern A,Ignored,Low,Windows
2023-06-09 07:13:26,user89,214.119.48.214,58.202.122.159,TCP,FTP,No Detection,69.92,yes,Malware,Known Pattern B,Ignored,Low,Windows
2021-06-16 02:45:03,user90,142.220.101.159,78.220.228.201,UDP,DNS,IoC Detected,55.21,no,Intrusion,Known Pattern A,Logged,High,Windows
2023-08-25 11:48:02,user91,133.134.0.93,113.148.12.78,ICMP,DNS,IoC Detected,88.64,no,Malware,Known Pattern B,Logged,Medium,Linux
2022-02-11 05:29:42,user92,84.57.209.40,29.217.155.48,ICMP,HTTP,IoC Detected,98.79,yes,Malware,Known Pattern B,Ignored,Low,iPod
2023-03-17 04:48:17,user93,171.213.160.109,37.178.43.162,TCP,DNS,No Detection,95.09,no,DDoS,Known Pattern A,Blocked,Low,Linux
2021-01-03 05:55:18,user94,68.81.195.211,120.225.253.196,UDP,FTP,IoC Detected,51.45,no,DDoS,Known Pattern A,Ignored,Medium,Windows
2022-05-30 05:27:26,user95,69.223.202.208,113.57.123.161,ICMP,HTTP,IoC Detected,40.79,no,DDoS,Known Pattern A,Logged,Low,Linux
2021-08-24 07:13:11,user96,133.6.198.161,77.230.183.6,ICMP,HTTP,No Detection,72.29,yes,Malware,Known Pattern A,Logged,High,Linux
2020-01-21 09:17:24,user97,51.164.84.109,166.157.44.142,ICMP,DNS,IoC Detected,15.98,yes,DDoS,Known Pattern A,Ignored,Medium,Linux
2020-09-18 16:25:58,user98,22.221.89.44,58.196.156.163,UDP,FTP,No Detection,24.48,yes,Intrusion,Known Pattern B,Blocked,High,Windows
2023-03-22 07:37:37,user99,82.43.221.207,164.131.46.159,TCP,FTP,IoC Detected,37.37,no,DDoS,Known Pattern A,Logged,High,Windows
2022-04-25 19:16:45,user100,43.90.159.175,6.239.70.235,UDP,DNS,IoC Detected,37.68,no,Intrusion,Known Pattern A,Blocked,High,Linux
2023-08-26 07:32:31,user101,182.227.177.209,42.225.97.31,TCP,DNS,No Detection,2.65,yes,DDoS,Known Pattern B,Blocked,High,Windows
2022-06-13 22:02:28,user102,17.145.153.228,211.212.34.18,UDP,FTP,No Detection,82.15,yes,Malware,Known Pattern A,Logged,Medium,iPad
2023-01-11 18:53:06,user103,149.221.189.216,77.156.217.182,TCP,HTTP,No Detection,58.43,yes,DDoS,Known Pattern B,Ignored,Medium,Windows
2021-12-06 09:04:37,user104,53.253.178.136,205.217.191.245,TCP,FTP,No Detection,19.19,no,Intrusion,Known Pattern B,Logged,High,Windows
2021-07-30 03:26:38,user105,27.160.38.221,137.96.218.65,ICMP,DNS,No Detection,43.02,yes,Intrusion,Known Pattern A,Blocked,Low,iPod
2022-07-01 19:30:18,user106,19.136.207.52,3.109.169.32,ICMP,FTP,No Detection,52.43,no,Intrusion,Known Pattern A,Blocked,Low,Windows
2021-11-03 22:55:20,user107,21.203.134.165,15.236.58.224,ICMP,HTTP,No Detection,76.52,no,DDoS,Known Pattern A,Blocked,High,iPod
2021-05-20 19:57:42,user108,151.164.91.141,21.152.26.115,UDP,DNS,IoC Detected,2.87,no,DDoS,Known Pattern A,Logged,Medium,Linux
2021-06-20 18:22:22,user109,48.63.92.33,104.237.98.92,UDP,HTTP,No Detection,43.73,yes,Intrusion,Known Pattern A,Blocked,High,Linux
2023-01-04 02:07:00,user110,88.68.105.235,205.244.2.156,ICMP,DNS,No Detection,50.96,yes,Malware,Known Pattern A,Logged,Medium,Windows
2023-07-16 09:19:22,user111,168.49.75.135,106.193.40.98,ICMP,FTP,IoC Detected,43.96,no,Intrusion,Known Pattern A,Ignored,Medium,Macintosh
2023-02-09 04:25:44,user112,207.187.248.144,89.122.96.126,TCP,HTTP,IoC Detected,12.16,no,Malware,Known Pattern B,Blocked,Low,Windows
2020-02-11 18:40:08,user113,39.98.238.148,7.152.59.100,ICMP,DNS,IoC Detected,93.8,yes,DDoS,Known Pattern A,Ignored,Low,Windows
2021-06-14 11:29:50,user114,1.206.253.55,184.21.92.89,TCP,HTTP,No Detection,45.38,yes,Intrusion,Known Pattern A,Logged,High,Windows
2022-08-12 06:07:56,user115,186.76.20.238,125.210.169.80,UDP,DNS,No Detection,87.3,yes,DDoS,Known Pattern A,Ignored,Low,Windows
2020-03-31 17:11:01,user116,83.12.125.38,124.201.15.102,TCP,DNS,No Detection,55.18,yes,Malware,Known Pattern A,Blocked,High,Windows
2020-11-06 19:37:29,user117,190.137.216.0,106.5.123.235,TCP,HTTP,No Detection,76.49,no,DDoS,Known Pattern B,Logged,Medium,Windows
2022-03-23 11:55:30,user118,162.129.101.69,90.242.171.96,TCP,DNS,No Detection,91.36,no,Intrusion,Known Pattern A,Blocked,Low,Linux
2022-07-06 21:53:46,user119,24.255.201.136,173.7.101.247,TCP,HTTP,IoC Detected,20.57,yes,Malware,Known Pattern B,Ignored,Medium,iPad
2021-06-28 08:51:32,user120,181.73.22.235,60.130.66.124,UDP,DNS,IoC Detected,74.24,no,DDoS,Known Pattern B,Blocked,Medium,iPad
2020-01-25 14:45:02,user121,59.58.169.176,133.37.76.214,TCP,DNS,No Detection,79.35,no,DDoS,Known Pattern B,Logged,High,Linux
2020-08-04 18:50:47,user122,16.169.132.119,84.83.229.157,TCP,DNS,No Detection,81.12,no,Malware,Known Pattern A,Blocked,High,Linux
2022-06-19 18:49:30,user123,192.125.5.99,87.208.116.131,ICMP,FTP,IoC Detected,91.25,no,DDoS,Known Pattern A,Blocked,Medium,Windows
2021-11-05 20:25:30,user124,23.5.91.96,38.178.149.128,UDP,HTTP,No Detection,25.16,yes,DDoS,Known Pattern A,Logged,Medium,Macintosh
2020-04-09 13:53:16,user125,13.149.41.41,75.34.189.214,ICMP,FTP,No Detection,34.79,yes,Malware,Known Pattern B,Logged,Medium,Windows
2022-07-20 02:54:11,user126,174.122.112.22,52.73.12.11,TCP,FTP,No Detection,63.27,yes,Malware,Known Pattern B,Ignored,Low,iPad
2020-08-28 12:27:15,user127,30.5.112.185,215.74.187.131,UDP,FTP,IoC Detected,0.92,no,DDoS,Known Pattern A,Blocked,Low,Linux
2022-11-08 18:16:32,user128,133.76.133.195,15.22.163.231,UDP,FTP,IoC Detected,94.53,no,Malware,Known Pattern A,Blocked,Low,Windows
2022-04-07 03:41:19,user129,67.149.133.123,73.128.201.233,UDP,DNS,IoC Detected,31.75,yes,Intrusion,Known Pattern A,Logged,High,Macintosh
2022-11-06 00:10:14,user130,160.139.253.237,188.160.239.53,UDP,DNS,No Detection,48.16,no,Intrusion,Known Pattern B,Logged,Medium,iPod
2021-10-28 01:21:08,user131,38.143.241.183,144.199.203.78,TCP,HTTP,No Detection,24.24,no,Malware,Known Pattern A,Ignored,High,Windows
2023-09-25 18:17:28,user132,82.24.84.168,108.1.49.34,UDP,DNS,IoC Detected,64.45,yes,Intrusion,Known Pattern A,Logged,Medium,Windows
2021-03-17 20:46:09,user133,166.51.223.173,130.195.115.192,ICMP,FTP,No Detection,40.57,yes,Malware,Known Pattern A,Logged,Medium,Windows
2023-05-06 11:16:31,user134,107.2.219.173,203.127.219.255,UDP,FTP,IoC Detected,77.01,no,DDoS,Known Pattern B,Logged,Medium,Windows
2020-02-07 05:38:21,user135,24.49.123.170,49.214.69.205,TCP,FTP,IoC Detected,73.06,no,Intrusion,Known Pattern A,Ignored,High,Windows
2020-05-27 19:12:01,user136,82.226.21.58,6.214.97.14,TCP,FTP,IoC Detected,28.32,yes,Intrusion,Known Pattern A,Ignored,Medium,Windows
2022-10-13 18:04:45,user137,19.191.111.40,141.240.160.21,TCP,DNS,IoC Detected,14.38,no,Intrusion,Known Pattern B,Logged,High,Windows
2021-12-05 00:27:16,user138,106.1.119.7,62.153.177.45,ICMP,FTP,No Detection,96.15,no,Intrusion,Known Pattern B,Blocked,Low,Macintosh
2023-02-02 14:09:43,user139,201.226.184.104,53.234.180.165,UDP,HTTP,IoC Detected,13.87,no,Intrusion,Known Pattern A,Logged,Low,Windows
2020-10-07 14:03:52,user140,131.113.113.48,150.236.191.72,UDP,FTP,No Detection,49.21,yes,Intrusion,Known Pattern B,Blocked,Medium,Windows
2021-03-09 18:00:46,user141,87.82.91.149,173.20.77.232,ICMP,HTTP,No Detection,98.7,no,Intrusion,Known Pattern A,Logged,Medium,Windows
2021-08-12 03:48:46,user142,43.184.108.241,146.233.60.54,TCP,HTTP,No Detection,28.63,yes,Malware,Known Pattern A,Logged,High,Macintosh
2021-09-26 22:37:25,user143,82.135.204.15,50.60.204.29,ICMP,HTTP,No Detection,2.02,yes,DDoS,Known Pattern B,Ignored,Medium,Linux
2020-08-06 21:45:49,user144,164.126.206.202,222.29.64.60,ICMP,HTTP,No Detection,7.97,no,Malware,Known Pattern A,Blocked,Medium,Windows
2020-08-09 05:08:50,user145,74.1.205.15,167.35.208.32,ICMP,DNS,IoC Detected,66.47,no,Malware,Known Pattern A,Logged,Low,Linux
2022-12-07 19:19:40,user146,3.36.201.253,187.116.222.183,TCP,DNS,IoC Detected,58.81,no,Malware,Known Pattern B,Blocked,High,Windows
2023-04-27 17:41:36,user147,101.240.245.149,209.12.79.245,UDP,FTP,IoC Detected,56.3,yes,DDoS,Known Pattern A,Logged,Low,Macintosh
2021-04-06 14:06:04,user148,135.244.238.162,4.98.113.135,UDP,HTTP,IoC Detected,39.56,yes,Malware,Known Pattern B,Logged,Low,Linux
2020-08-23 05:03:44,user149,38.103.249.206,134.157.89.36,UDP,HTTP,No Detection,31.51,yes,DDoS,Known Pattern A,Ignored,Medium,Android
2021-11-17 01:36:51,user150,222.101.36.85,103.183.178.104,ICMP,HTTP,IoC Detected,74.43,yes,Malware,Known Pattern B,Ignored,High,Macintosh
2021-12-25 10:29:17,user151,11.255.103.198,89.204.92.1,TCP,HTTP,No Detection,88.92,no,Intrusion,Known Pattern A,Blocked,Low,Windows
2023-07-13 21:42:19,user152,50.136.143.136,171.51.107.64,TCP,HTTP,IoC Detected,61.09,yes,Intrusion,Known Pattern B,Logged,High,Windows
2021-01-14 07:40:22,user153,16.102.25.34,2.17.151.133,TCP,DNS,No Detection,34.61,no,Malware,Known Pattern A,Ignored,Low,iPod
2020-02-11 11:58:59,user154,40.215.21.203,61.78.23.237,TCP,HTTP,IoC Detected,20.45,yes,Intrusion,Known Pattern B,Logged,Medium,Windows
2020-12-08 08:32:02,user155,175.248.164.225,63.153.231.207,TCP,DNS,No Detection,88.04,yes,Intrusion,Known Pattern A,Ignored,High,Linux
2021-06-18 20:41:57,user156,92.235.46.203,208.47.51.63,TCP,FTP,No Detection,2.83,no,Intrusion,Known Pattern A,Blocked,Medium,Windows
2020-10-21 18:01:09,user157,105.41.110.142,218.198.53.134,TCP,DNS,IoC Detected,26.1,yes,Malware,Known Pattern B,Ignored,Low,Windows
2023-02-22 02:35:33,user158,129.7.219.68,56.188.226.79,UDP,DNS,No Detection,90.17,yes,DDoS,Known Pattern A,Ignored,Low,Android
2020-10-22 18:15:00,user159,36.251.254.13,177.13.115.135,TCP,HTTP,No Detection,13.54,no,Malware,Known Pattern A,Blocked,High,Windows
2021-04-16 17:16:07,user160,177.233.199.72,102.116.5.251,TCP,DNS,No Detection,73.41,yes,Intrusion,Known Pattern A,Logged,High,Windows
2022-10-19 14:45:01,user161,146.126.216.183,40.6.68.136,TCP,DNS,IoC Detected,26.55,no,Malware,Known Pattern A,Ignored,Medium,Windows
2021-12-07 09:35:42,user162,56.28.71.163,205.202.142.66,TCP,FTP,IoC Detected,86.49,yes,Intrusion,Known Pattern B,Logged,High,Windows
2021-06-07 19:19:28,user163,219.112.29.115,219.209.93.45,TCP,FTP,IoC Detected,99.21,no,Intrusion,Known Pattern B,Ignored,Low,Windows
2020-02-14 12:32:11,user164,144.35.251.141,10.198.80.86,UDP,DNS,No Detection,1.99,no,Malware,Known Pattern A,Ignored,Medium,Linux
2022-08-18 18:57:47,user165,117.220.87.44,211.7.22.123,TCP,FTP,IoC Detected,32.14,no,Intrusion,Known Pattern B,Blocked,Low,iPod
2023-03-19 21:28:32,user166,96.214.79.54,38.38.95.41,TCP,FTP,No Detection,50.45,yes,Intrusion,Known Pattern B,Blocked,Medium,iPad
2022-11-25 13:03:56,user167,223.237.20.20,83.3.71.94,TCP,FTP,No Detection,62.5,no,Malware,Known Pattern B,Logged,Medium,Windows
2023-07-25 21:15:27,user168,18.218.11.13,179.125.149.78,UDP,HTTP,IoC Detected,95.32,no,DDoS,Known Pattern B,Ignored,Low,Windows
2021-12-01 07:25:04,user169,10.148.210.84,30.146.104.159,UDP,FTP,IoC Detected,72.35,no,DDoS,Known Pattern A,Blocked,Low,iPad
2023-10-02 21:57:09,user170,134.20.98.97,220.0.224.141,TCP,FTP,No Detection,50.98,no,Malware,Known Pattern A,Ignored,Low,Android
2021-07-18 07:04:32,user171,50.147.113.57,31.165.43.49,ICMP,DNS,No Detection,36.64,yes,Intrusion,Known Pattern A,Ignored,Low,iPhone
2022-06-28 03:36:40,user172,117.57.59.135,92.197.169.190,ICMP,HTTP,No Detection,56.24,yes,DDoS,Known Pattern A,Blocked,High,iPod
2020-02-25 23:19:11,user173,29.205.41.114,43.239.93.201,UDP,FTP,IoC Detected,39.99,yes,Malware,Known Pattern A,Logged,High,Linux
2023-05-01 21:34:11,user174,110.31.121.188,179.193.137.44,ICMP,DNS,No Detection,78.43,yes,Intrusion,Known Pattern A,Blocked,Low,iPhone
2022-12-03 15:30:41,user175,203.18.119.220,216.240.207.101,TCP,FTP,No Detection,12.82,yes,Malware,Known Pattern B,Ignored,Low,Windows
2020-11-14 04:41:11,user176,53.21.77.231,98.198.69.188,TCP,FTP,No Detection,83.68,yes,Malware,Known Pattern A,Ignored,Low,iPad
2020-01-16 01:22:45,user177,80.49.190.13,129.201.147.89,UDP,FTP,IoC Detected,4.41,yes,Malware,Known Pattern A,Ignored,Medium,Windows
